,rank,prev_rank,name,league,off,def,spi,etiquetas
0,1,1,Manchester City,Barclays Premier League,2.79,0.28,92.0,1
1,2,2,Bayern Munich,German Bundesliga,3.04,0.68,87.66,1
2,3,3,Barcelona,Spanish Primera Division,2.45,0.43,86.4,1
3,4,4,Real Madrid,Spanish Primera Division,2.56,0.6,84.41,1
4,5,5,Liverpool,Barclays Premier League,2.63,0.67,83.93,1
5,6,6,Arsenal,Barclays Premier League,2.53,0.61,83.92,1
6,7,7,Newcastle,Barclays Premier League,2.38,0.53,83.7,1
7,8,8,Napoli,Italy Serie A,2.3,0.51,83.25,1
8,9,9,Borussia Dortmund,German Bundesliga,2.83,0.84,82.91,1
9,10,10,Brighton and Hove Albion,Barclays Premier League,2.47,0.73,80.88,1
10,11,11,RB Leipzig,German Bundesliga,2.39,0.7,80.42,1
11,12,12,Benfica,Portuguese Liga,2.4,0.73,79.96,1
12,13,13,Aston Villa,Barclays Premier League,2.01,0.51,79.3,1
13,14,14,Atletico Madrid,Spanish Primera Division,2.26,0.67,79.29,1
14,15,15,Paris Saint-Germain,French Ligue 1,2.62,0.91,79.12,1
15,16,16,Manchester United,Barclays Premier League,2.35,0.74,79.08,1
16,17,17,Internazionale,Italy Serie A,2.33,0.76,78.43,1
17,18,18,Ajax,Dutch Eredivisie,2.66,1.03,77.36,1
18,19,19,Lille,French Ligue 1,2.07,0.64,77.2,1
19,20,20,Brentford,Barclays Premier League,2.1,0.67,77.14,1
20,21,21,Real Sociedad,Spanish Primera Division,1.87,0.52,77.07,1
21,22,22,Sporting CP,Portuguese Liga,2.07,0.66,76.96,1
22,23,23,FC Porto,Portuguese Liga,2.16,0.72,76.86,1
23,24,24,Chelsea,Barclays Premier League,2.04,0.68,75.78,1
24,25,25,Feyenoord,Dutch Eredivisie,2.28,0.87,75.25,1
25,26,26,Lyon,French Ligue 1,2.28,0.88,75.18,1
26,27,27,Stade Rennes,French Ligue 1,2.01,0.69,75.14,1
27,28,28,Bayer Leverkusen,German Bundesliga,2.03,0.72,74.88,1
28,29,29,Athletic Bilbao,Spanish Primera Division,1.84,0.59,74.78,1
29,30,30,Celtic,Scottish Premiership,2.53,1.07,74.69,1
30,31,32,Zenit St Petersburg,Russian Premier Liga,2.02,0.73,74.38,1
31,32,31,Fiorentina,Italy Serie A,2.07,0.76,74.35,1
32,33,33,FC Twente,Dutch Eredivisie,2.22,0.88,74.18,1
33,34,34,Marseille,French Ligue 1,2.05,0.77,73.99,1
34,35,35,PSV,Dutch Eredivisie,2.38,1.02,73.51,1
35,36,36,Crystal Palace,Barclays Premier League,1.81,0.62,73.46,1
36,37,37,Villarreal,Spanish Primera Division,2.14,0.86,73.35,1
37,38,38,Lens,French Ligue 1,1.96,0.73,73.34,1
38,39,39,AC Milan,Italy Serie A,2.05,0.8,73.33,1
39,40,40,AS Roma,Italy Serie A,1.82,0.65,73.0,1
40,41,41,FC Salzburg,Austrian T-Mobile Bundesliga,2.06,0.83,72.91,1
41,42,42,FC Cologne,German Bundesliga,2.03,0.81,72.57,1
42,43,43,Tottenham Hotspur,Barclays Premier League,2.19,0.95,72.14,1
43,44,44,Rangers,Scottish Premiership,2.25,1.0,71.98,1
44,45,45,Eintracht Frankfurt,German Bundesliga,2.07,0.88,71.61,1
45,46,47,West Ham United,Barclays Premier League,1.94,0.81,71.12,1
46,47,46,Atalanta,Italy Serie A,2.1,0.93,71.05,1
47,48,48,VfL Wolfsburg,German Bundesliga,2.07,0.92,70.86,1
48,49,49,Juventus,Italy Serie A,1.89,0.81,70.36,1
49,50,50,Torino,Italy Serie A,1.7,0.66,70.34,1
50,51,51,Sevilla FC,Spanish Primera Division,1.81,0.77,69.76,1
51,52,53,Mainz,German Bundesliga,2.11,1.02,69.33,1
52,53,52,Palmeiras,Brasileiro Série A,1.78,0.78,69.02,1
53,54,55,Valencia,Spanish Primera Division,1.73,0.75,68.68,1
54,55,56,Lazio,Italy Serie A,1.77,0.79,68.63,1
55,56,57,Fulham,Barclays Premier League,1.9,0.9,68.22,1
56,57,54,Besiktas,Turkish Turkcell Super Lig,2.14,1.1,68.14,1
57,58,58,Celta Vigo,Spanish Primera Division,1.72,0.77,68.08,1
58,59,59,Nice,French Ligue 1,1.75,0.8,67.86,1
59,60,60,VfB Stuttgart,German Bundesliga,1.96,0.97,67.66,1
60,61,61,Borussia Monchengladbach,German Bundesliga,2.1,1.09,67.64,1
61,62,64,Galatasaray,Turkish Turkcell Super Lig,2.0,1.01,67.53,1
62,63,63,AZ,Dutch Eredivisie,1.92,0.96,67.2,1
63,64,65,Girona FC,Spanish Primera Division,1.93,0.97,67.11,1
64,65,66,Real Betis,Spanish Primera Division,1.73,0.82,66.95,1
65,66,67,SC Freiburg,German Bundesliga,1.91,0.99,66.38,1
66,67,62,Flamengo,Brasileiro Série A,1.9,0.99,66.27,1
67,68,68,Strasbourg,French Ligue 1,1.78,0.89,66.23,1
68,69,69,1. FC Union Berlin,German Bundesliga,1.71,0.84,65.99,1
69,70,70,Osasuna,Spanish Primera Division,1.63,0.8,65.37,1
70,71,71,Young Boys,Swiss Raiffeisen Super League,2.1,1.21,64.89,1
71,72,72,Atletico Mineiro,Brasileiro Série A,1.54,0.76,64.58,1
72,73,73,Getafe,Spanish Primera Division,1.51,0.73,64.58,1
73,74,74,AS Monaco,French Ligue 1,1.95,1.11,64.44,1
74,75,75,Leicester City,Barclays Premier League,1.87,1.04,64.42,1
75,76,76,KAA Gent,Belgian Jupiler League,1.93,1.1,64.08,1
76,77,77,Reims,French Ligue 1,1.72,0.94,63.87,1
77,78,78,Bologna,Italy Serie A,1.79,1.0,63.79,1
78,79,79,Werder Bremen,German Bundesliga,1.93,1.11,63.74,1
79,80,82,Fenerbahce,Turkish Turkcell Super Lig,2.01,1.19,63.68,1
80,81,80,Monterrey,Mexican Primera Division Torneo Clausura,1.58,0.83,63.66,1
81,82,81,Everton,Barclays Premier League,1.82,1.03,63.63,1
82,83,83,TSG Hoffenheim,German Bundesliga,1.96,1.17,63.26,1
83,84,84,Sassuolo,Italy Serie A,1.9,1.12,63.11,1
84,85,85,Slavia Prague,UEFA Europa Conference League,1.83,1.06,63.09,1
85,86,86,Braga,Portuguese Liga,1.78,1.02,62.98,1
